1,2006-04-07,2006-05-19,2
2,2006-05-22,2006-07-03,8
3,2006-07-06,2006-08-17,8
4,2006-08-20,2006-10-01,8
5,2006-10-04,2006-11-15,8
6,2006-11-18,2006-12-30,8
7,2007-01-02,2007-02-13,2
8,2007-01-28,2007-03-11,2
9,2007-03-18,2007-04-29,8
10,2007-05-02,2007-06-13,8
11,2007-07-13,2007-08-24,5
12,2007-08-02,2007-09-13,2
13,2007-09-14,2007-10-26,8
14,2007-12-28,2008-02-08,8
15,2008-02-11,2008-03-24,8
16,2008-04-16,2008-05-28,2
17,2008-09-05,2008-10-17,2
18,2008-10-19,2008-11-30,2
19,2009-03-22,2009-05-03,8
20,2009-05-21,2009-07-02,8
21,2009-07-05,2009-08-16,8
22,2009-08-19,2009-09-30,8
23,2009-10-04,2009-11-15,2
24,2009-11-14,2009-12-26,2
25,2009-12-18,2010-01-29,5
26,2010-03-17,2010-04-28,8
27,2010-05-06,2010-06-17,8
28,2010-06-20,2010-08-01,8
29,2010-10-31,2010-12-12,2
30,2010-11-30,2011-01-11,5
31,2010-12-30,2011-02-10,5
32,2011-04-01,2011-05-13,8
33,2011-05-16,2011-06-27,8
34,2011-06-29,2011-08-10,2
35,2011-09-03,2011-10-15,8
36,2011-10-18,2011-11-29,8
37,2011-12-02,2012-01-13,8
38,2012-01-16,2012-02-27,8
39,2012-03-01,2012-04-12,8
40,2012-04-27,2012-06-08,5
41,2012-06-09,2012-07-21,8
42,2012-07-24,2012-09-04,8
43,2012-09-07,2012-10-19,8
44,2012-12-06,2013-01-17,5
45,2013-01-25,2013-03-08,9
46,2013-05-08,2013-06-19,2
47,2013-06-24,2013-08-05,9
48,2013-08-11,2013-09-22,2
49,2013-10-02,2013-11-13,5
50,2013-11-16,2013-12-28,9
51,2014-01-30,2014-03-13,8
52,2014-03-28,2014-05-09,2
53,2014-06-15,2014-07-27,5
54,2014-09-17,2014-10-29,8
55,2015-01-05,2015-02-16,8
56,2015-03-16,2015-04-27,8
57,2015-04-30,2015-06-11,9
58,2015-07-23,2015-09-03,2
59,2015-09-07,2015-10-19,9
60,2015-10-22,2015-12-03,9
61,2016-03-10,2016-04-21,8
62,2016-04-24,2016-06-05,9
63,2016-06-08,2016-07-20,9
64,2016-07-28,2016-09-08,8
65,2016-09-11,2016-10-23,8
66,2016-12-15,2017-01-26,8
67,2017-01-29,2017-03-12,8
68,2017-03-15,2017-04-26,8
69,2017-05-19,2017-06-30,8
70,2017-08-09,2017-09-20,5
