1,2006-02-19,2006-04-02,2
2,2006-04-07,2006-05-19,8
3,2006-05-20,2006-07-01,4
4,2006-05-22,2006-07-03,8
5,2006-07-06,2006-08-17,8
6,2006-08-20,2006-10-01,8
7,2006-10-04,2006-11-15,8
8,2006-10-13,2006-11-24,1
9,2006-11-18,2006-12-30,8
10,2007-01-02,2007-02-13,9
11,2007-01-21,2007-03-04,3
12,2007-03-18,2007-04-29,8
13,2007-05-02,2007-06-13,8
14,2007-05-13,2007-06-24,1
15,2007-06-15,2007-07-27,2
16,2007-07-31,2007-09-11,2
17,2007-09-09,2007-10-21,2
18,2007-10-24,2007-12-05,9
19,2007-12-08,2008-01-19,8
20,2008-01-22,2008-03-04,8
21,2008-03-09,2008-04-20,3
22,2008-04-21,2008-06-02,8
23,2008-05-16,2008-06-27,4
24,2008-06-05,2008-07-17,8
25,2008-06-13,2008-07-25,1
26,2008-07-20,2008-08-31,9
27,2008-09-06,2008-10-18,2
28,2008-09-20,2008-11-01,2
29,2008-11-12,2008-12-24,8
30,2008-12-19,2009-01-30,1
31,2008-12-27,2009-02-07,8
32,2009-02-10,2009-03-24,8
33,2009-04-01,2009-05-13,8
34,2009-06-05,2009-07-17,8
35,2009-06-13,2009-07-25,4
36,2009-07-20,2009-08-31,2
37,2009-09-03,2009-10-15,5
38,2009-09-17,2009-10-29,5
39,2009-10-17,2009-11-28,2
40,2009-11-08,2009-12-20,2
41,2009-11-28,2010-01-09,3
42,2009-12-12,2010-01-23,1
43,2010-01-11,2010-02-22,8
44,2010-03-20,2010-05-01,5
45,2010-05-06,2010-06-17,8
46,2010-06-26,2010-08-07,4
47,2010-06-30,2010-08-11,8
48,2010-08-18,2010-09-29,2
49,2010-10-03,2010-11-14,8
50,2010-12-05,2011-01-16,5
51,2010-12-19,2011-01-30,5
52,2011-01-15,2011-02-26,5
53,2011-03-22,2011-05-03,8
54,2011-05-06,2011-06-17,8
55,2011-06-20,2011-08-01,9
56,2011-07-23,2011-09-03,3
57,2011-08-13,2011-09-24,5
58,2011-10-13,2011-11-24,9
59,2011-10-15,2011-11-26,3
60,2011-12-02,2012-01-13,8
61,2012-01-16,2012-02-27,8
62,2012-03-28,2012-05-09,5
63,2012-05-10,2012-06-21,8
64,2012-07-01,2012-08-12,2
65,2012-08-13,2012-09-24,8
66,2012-09-27,2012-11-08,9
67,2012-12-07,2013-01-18,2
68,2013-01-17,2013-02-28,5
69,2013-03-01,2013-04-12,9
70,2013-04-20,2013-06-01,8
71,2013-06-29,2013-08-10,2
72,2013-07-31,2013-09-11,2
73,2013-08-30,2013-10-11,5
74,2013-09-30,2013-11-11,5
75,2013-10-24,2013-12-05,5
76,2013-12-06,2014-01-17,9
77,2014-02-14,2014-03-28,8
78,2014-03-29,2014-05-10,2
79,2014-05-26,2014-07-07,5
80,2014-07-09,2014-08-20,9
81,2014-08-22,2014-10-03,5
82,2014-10-12,2014-11-23,8
83,2014-12-21,2015-02-01,8
84,2015-02-27,2015-04-10,5
85,2015-04-15,2015-05-27,8
86,2015-06-10,2015-07-22,2
87,2015-07-11,2015-08-22,2
88,2015-08-04,2015-09-15,2
89,2015-09-17,2015-10-29,9
90,2015-11-01,2015-12-13,9
91,2016-01-20,2016-03-02,8
92,2016-04-09,2016-05-21,8
93,2016-05-24,2016-07-05,9
94,2016-05-30,2016-07-11,3
95,2016-07-13,2016-08-24,8
96,2016-09-01,2016-10-13,8
97,2016-10-23,2016-12-04,1
98,2016-11-10,2016-12-22,8
99,2017-01-14,2017-02-25,8
100,2017-02-28,2017-04-11,8
101,2017-04-14,2017-05-26,8
102,2017-05-29,2017-07-10,9
103,2017-07-20,2017-08-31,5
104,2017-08-25,2017-10-06,1
105,2017-09-22,2017-11-03,2
